title,link,description,date
Just 20% of 2022 aid pledges secured as Pakistan faces new floods,https://www.geo.tv/latest/620742-just-20-of-2022-aid-pledges-secured-as-pakistan-faces-new-floods,Just 20% of 2022 aid pledges secured as Pakistan faces new floods,"Aug 28, 2025"
IWT in abeyance: Has India been deliberately tardy in issuing flood warnings?,https://www.geo.tv/latest/620737-after-holding-indus-waters-treaty-in-abeyance-has-india-been-deliberately-tardy-in-issuing-flood-warnings,IWT in abeyance: Has India been deliberately tardy in issuing flood warnings?,"Aug 28, 2025"
Aug 29–Sept 2: Heavy downpours loom as new monsoon front advances across Pakistan,https://www.geo.tv/latest/620707-aug-29-sept-2-heavy-downpours-loom-as-new-rain-front-advances-across-pakistan,Aug 29–Sept 2: Heavy downpours loom as new monsoon front advances across Pakistan,"Aug 28, 2025"
Sindh fears over 1.6m people at risk amid flood threat,https://www.geo.tv/latest/621072-sindh-fears-over-16m-people-at-risk-amid-flood-threat,Sindh fears over 1.6m people at risk amid flood threat,"Aug 30, 2025"
PTI lawmakers start quitting parliamentary committees on Imran's orders,https://www.geo.tv/latest/620670-pti-lawmakers-start-quitting-parliamentary-committees-on-imrans-orders,PTI lawmakers start quitting parliamentary committees on Imran's orders,"Aug 27, 2025"
"5.3-magnitude earthquake jolts KP, Islamabad",https://www.geo.tv/latest/620662-earthquake-jolts-parts-of-khyber-pakhtunkhwa,"5.3-magnitude earthquake jolts KP, Islamabad","Aug 27, 2025"
Heavy rains break nearly half a century's record in Sialkot,https://www.geo.tv/latest/620657-heavy-rains-break-nearly-half-a-centurys-record-in-sialkot,Heavy rains break nearly half a century's record in Sialkot,"Aug 27, 2025"
"Ravi, Sutlej in high flood at Shahdara, Balloki, Sulemanki",https://www.geo.tv/liveblog/live-updates-on-pakistan-floods,"Ravi, Sutlej in high flood at Shahdara, Balloki, Sulemanki","Aug 27, 2025"
What is Pakistan's way forward in managing floods?,https://www.geo.tv/latest/620651-what-is-pakistans-way-forward-in-managing-floods,What is Pakistan's way forward in managing floods?,"Aug 27, 2025"
Explainer: Why Pakistan's floods are so deadly,https://www.geo.tv/latest/620628-explainer-why-pakistans-floods-are-so-deadly,Explainer: Why Pakistan's floods are so deadly,"Aug 27, 2025"
"In pictures: Villages submerged, rescue underway as Punjab reels under deluge",https://www.geo.tv/latest/620614-in-pictures-villages-submerged-rescue-underway-as-punjab-reels-under-deluge,"In pictures: Villages submerged, rescue underway as Punjab reels under deluge","Aug 27, 2025"
Is PTI disarray political tactic or leadership crisis?,https://www.geo.tv/latest/620615-is-pti-disarray-political-tactic-or-leadership-crisis,Is PTI disarray political tactic or leadership crisis?,"Aug 27, 2025"
WATCH: Floodwater submerges Kartarpur area in Punjab,https://www.geo.tv/latest/620607-watch-floodwater-submerges-kartarpur-area-in-punjab,WATCH: Floodwater submerges Kartarpur area in Punjab,"Aug 27, 2025"
PM orders emergency measures as Punjab rivers face high flood risks amid Indian water release,https://www.geo.tv/latest/620596-ravi-braces-for-flood-peak-tonight-as-india-alerts-pakistan-about-fresh-surges-in-punjab-rivers,PM orders emergency measures as Punjab rivers face high flood risks amid Indian water release,"Aug 27, 2025"
"Police report says Farhan Ghani case was 'simple quarrel', no weapons used",https://www.geo.tv/latest/621066-police-report-says-farhan-ghani-case-was-simple-quarrel-no-weapons-used,"Police report says Farhan Ghani case was 'simple quarrel', no weapons used","Aug 30, 2025"
PTI boycotts by-elections in disqualified members' constituencies,https://www.geo.tv/latest/620593-pti-boycotts-by-elections-in-disqualified-members-constituencies,PTI boycotts by-elections in disqualified members' constituencies,"Aug 27, 2025"
"After sugar price shock, flour soars as wheat costs spike",https://www.geo.tv/latest/620592-after-sugar-price-shock-flour-soars-as-wheat-costs-spike,"After sugar price shock, flour soars as wheat costs spike","Aug 27, 2025"
"Pakistan's monsoon misery: Nature's fury, man's mistake",https://www.geo.tv/latest/620587-pakistans-monsoon-misery-natures-fury-mans-mistake,"Pakistan's monsoon misery: Nature's fury, man's mistake","Aug 27, 2025"
Army called in as Punjab faces 'exceptionally high' flood threat after India's water release,https://www.geo.tv/latest/620566-emergency-alert-as-rivers-swell-after-india-release-army-called-in-for-rescue-assistance,Army called in as Punjab faces 'exceptionally high' flood threat after India's water release,"Aug 27, 2025"
"Pakistan, Iran reaffirm readiness to eradicate terrorism",https://www.geo.tv/latest/620557-pakistan-iran-reaffirm-readiness-to-eradicate-terrorism,"Pakistan, Iran reaffirm readiness to eradicate terrorism","Aug 27, 2025"
Pakistan's monsoon death toll tops 800 after rains wreak havoc,https://www.geo.tv/latest/620525-over-174000-people-relocated-to-safe-locations-amid-floods-pm-told,Pakistan's monsoon death toll tops 800 after rains wreak havoc,"Aug 26, 2025"
47 terrorists killed in Zhob infiltration attempt: sources,https://www.geo.tv/latest/620513-47-terrorists-killed-while-attempting-to-infiltrate-balochistans-zhob-security-sources,47 terrorists killed in Zhob infiltration attempt: sources,"Aug 26, 2025"
Imran directs PTI lawmakers to resign from all parliamentary committees: Aleema,https://www.geo.tv/latest/620501-imran-directs-pti-leaders-to-resign-from-all-parliamentary-committees-says-aleema-khan,Imran directs PTI lawmakers to resign from all parliamentary committees: Aleema,"Aug 26, 2025"
Dar reaffirms Pakistan's commitment to deepen ties with brotherly nations,https://www.geo.tv/latest/620494-dar-reaffirms-pakistans-commitment-to-deepen-ties-with-brotherly-nations,Dar reaffirms Pakistan's commitment to deepen ties with brotherly nations,"Aug 26, 2025"
Resignation saga continues as Imran Khan once again retains Salman Akram Raja,https://www.geo.tv/latest/620493-resignation-saga-continues-as-imran-khan-once-again-retains-salman-akram-raja,Resignation saga continues as Imran Khan once again retains Salman Akram Raja,"Aug 26, 2025"
War then water: Punjab's border villagers face back-to-back evacuations,https://www.geo.tv/latest/621044-war-then-water-punjab-border-villagers-face-back-to-back-evacuations,War then water: Punjab's border villagers face back-to-back evacuations,"Aug 30, 2025"
Resignation saga continues as Imran Khan once again retains Salman Akram Raja,N/A,Resignation saga continues as Imran Khan once again retains Salman Akram Raja,"Aug 26, 2025"
"Flood devastation in Punjab leaves 30 dead, 1.5m affected",https://www.geo.tv/latest/621048-flood-devastation-in-punjab-leaves-30-dead-15-millions-affected,"Flood devastation in Punjab leaves 30 dead, 1.5m affected","Aug 30, 2025"
Imran Khan's nephew sent to jail on judicial remand in May 9 case,https://www.geo.tv/latest/621046-imran-khans-nephew-sent-to-jail-on-judicial-remand-in-may-9-case,Imran Khan's nephew sent to jail on judicial remand in May 9 case,"Aug 30, 2025"
Pro-TTP elements present in Afghan govt: DPM Dar,https://www.geo.tv/latest/621032-pro-ttp-elements-present-in-afghan-govt-says-dpm-ishaq-dar,Pro-TTP elements present in Afghan govt: DPM Dar,"Aug 30, 2025"
